0,Unnamed: 1,20,30,31,32,33,34,35,36,37,38,39,40,43,45,50,100,200,47,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,100.1,39.1,40.1,41,42,43.1,45.1,47.1,50.1,200.1,30.1,30.1.1,20.1,50.1.1,100.1.1,45.1.1,47.1.1,20.1.1,200.1.1,50.1.1.1,30.1.1.1,31.1.1,32.1.1,33.1.1,34.1.1,35.1.1,36.1.1,37.1.1,38.1.1,39.1.1,40.1.1,41.1,42.1,43.1.1,30.1.1.1.1,31.1.1.1,32.1.1.1,33.1.1.1,34.1.1.1,35.1.1.1,36.1.1.1,37.1.1.1,38.1.1.1,39.1.1.1,40.1.1.1,41.1.1,42.1.1,43.1.1.1,100.1.1.1,20.1.1.1,200.1.1.1,45.1.1.1,47.1.1.1,50.1.1.1.1,20.1.1.1.1,50.1.1.1.1.1,50.1.1.1.1.1.1,30.1.1.1.1.1,31.1.1.1.1,32.1.1.1.1,33.1.1.1.1,34.1.1.1.1,35.1.1.1.1,36.1.1.1.1,37.1.1.1.1,38.1.1.1.1,39.1.1.1.1,40.1.1.1.1,43.1.1.1.1,45.1.1.1.1,50.1.1.1.1.1.1.1,47.1.1.1.1,100.1.1.1.1,200
,,31.0,134.0,67.0,136.0,2038.0,134.0,1865.0,17088.0,1880.0,1639.0,8004.0,8715.0,1573.0,8407.0,806.0,5500.0,936.0,49.0,102.0,311.0,134.0,100.0,236.0,132.0,65.0,304.0,45.0,97.0,3588.0,103.0,67.0,67.0,2045.0,39.0,1270.0,207.0,100.0,,,,1014.0,133.0,102.0,,8555.0,3953.0,4656.0,6524.0,698.0,8654.0,1570.0,5326.0,9052.0,102.0,99.0,577.0,1348.0,474.0,9249.0,277.0,67.0,,354.0,4359.0,3927.0,133.0,99.0,133.0,,101.0,3764.0,282.0,,169.0,5074.0,169.0,3915.0,1013.0,88.0,4917.0,8044.0,106.0,573.0,7941.0,66.0,133.0,67.0,133.0,137.0,539.0,99.0,97,67.0,535.0,66.0,99.0,34.0,49.0,106.0,1435.0
,,602.0,133.0,32.0,99.0,2039.0,66.0,1828.0,,1845.0,2274.0,7968.0,8679.0,1538.0,8371.0,742.0,5366.0,768.0,50.0,66.0,303.0,101.0,29.0,199.0,100.0,39.0,235.0,102.0,34.0,3517.0,32.0,46.0,46.0,1944.0,49.0,1204.0,204.0,67.0,,,,901.0,66.0,53.0,,8408.0,3850.0,4659.0,6518.0,698.0,8681.0,1565.0,5291.0,9073.0,68.0,35.0,566.0,1277.0,406.0,9203.0,241.0,61.0,,339.0,4358.0,3917.0,99.0,37.0,99.0,,67.0,3722.0,234.0,,101.0,4939.0,,3748.0,906.0,48.0,4817.0,,97.0,4626.0,8040.0,34.0,98.0,33.0,101.0,66.0,499.0,69.0,34,41.0,468.0,47.0,48.0,54.0,52.0,102.0,1270.0
,,11535.0,133.0,33.0,134.0,2038.0,66.0,1829.0,,1813.0,2241.0,8002.0,8816.0,1469.0,8339.0,12495.0,5233.0,600.0,50.0,66.0,300.0,66.0,37.0,166.0,73.0,42.0,200.0,102.0,41.0,3446.0,44.0,46.0,47.0,1879.0,51.0,1132.0,203.0,67.0,,,,769.0,49.0,48.0,,8239.0,3784.0,4663.0,6524.0,700.0,8680.0,1532.0,5293.0,9071.0,35.0,39.0,468.0,1243.0,372.0,9207.0,311.0,66.0,,335.0,4317.0,3883.0,95.0,38.0,70.0,,41.0,3653.0,279.0,,48.0,4804.0,,3579.0,874.0,50.0,4751.0,,67.0,18091.0,11832.0,33.0,100.0,32.0,100.0,33.0,495.0,67.0,43,41.0,435.0,47.0,48.0,54.0,51.0,101.0,1100.0
,,,135.0,34.0,134.0,2035.0,67.0,1794.0,,1779.0,3450.0,7970.0,8848.0,1438.0,8338.0,12464.0,5101.0,430.0,49.0,66.0,264.0,66.0,37.0,134.0,33.0,41.0,169.0,103.0,43.0,3415.0,45.0,42.0,47.0,1845.0,51.0,1036.0,202.0,68.0,,,,634.0,49.0,52.0,,8074.0,3714.0,4662.0,6560.0,682.0,8711.0,1531.0,5326.0,9137.0,37.0,41.0,333.0,1178.0,332.0,9175.0,319.0,66.0,,332.0,4320.0,3889.0,66.0,39.0,32.0,,43.0,3621.0,310.0,,46.0,4674.0,,3409.0,805.0,52.0,4684.0,,65.0,,14834.0,33.0,69.0,38.0,98.0,36.0,465.0,32.0,41,44.0,399.0,49.0,49.0,55.0,51.0,103.0,934.0
,,,132.0,34.0,136.0,2039.0,32.0,1798.0,,1779.0,3417.0,8007.0,8817.0,1370.0,8272.0,24153.0,4967.0,264.0,51.0,67.0,266.0,33.0,38.0,101.0,40.0,41.0,101.0,103.0,45.0,3381.0,45.0,46.0,48.0,1779.0,51.0,968.0,206.0,67.0,,,,497.0,47.0,49.0,,7941.0,3648.0,4696.0,6597.0,670.0,8746.0,1497.0,5294.0,9138.0,40.0,41.0,301.0,1143.0,265.0,9151.0,322.0,68.0,,299.0,4288.0,3850.0,66.0,40.0,42.0,,41.0,3588.0,310.0,,47.0,4538.0,,3241.0,737.0,53.0,4650.0,,67.0,,18388.0,33.0,65.0,35.0,100.0,39.0,434.0,39.0,43,44.0,334.0,46.0,49.0,56.0,52.0,104.0,768.0
,,,135.0,34.0,168.0,2039.0,35.0,1763.0,,1748.0,3387.0,7998.0,8817.0,1337.0,8240.0,24056.0,4835.0,110.0,49.0,35.0,269.0,33.0,36.0,67.0,40.0,42.0,67.0,103.0,43.0,3310.0,46.0,43.0,41.0,1707.0,48.0,899.0,205.0,68.0,,,,367.0,47.0,49.0,,7774.0,3543.0,4699.0,6628.0,669.0,8778.0,1500.0,5294.0,9174.0,39.0,38.0,268.0,1109.0,131.0,9111.0,315.0,65.0,,298.0,4286.0,3817.0,34.0,38.0,40.0,,40.0,3524.0,312.0,,46.0,4405.0,,3073.0,670.0,49.0,4616.0,,65.0,,20396.0,33.0,67.0,37.0,102.0,35.0,400.0,40.0,42,41.0,303.0,45.0,47.0,54.0,51.0,103.0,600.0
,,,365.0,35.0,299.0,2005.0,29.0,1763.0,,2245.0,3646.0,8007.0,8851.0,1274.0,8209.0,24023.0,4702.0,203.0,49.0,32.0,231.0,36.0,38.0,67.0,39.0,39.0,34.0,101.0,42.0,3279.0,46.0,43.0,44.0,1640.0,50.0,800.0,,67.0,,,,287.0,47.0,48.0,,7606.0,3476.0,4731.0,6800.0,671.0,8946.0,1469.0,5327.0,9137.0,38.0,42.0,232.0,1043.0,68.0,9113.0,320.0,103.0,,300.0,4247.0,3819.0,37.0,39.0,41.0,,44.0,3488.0,305.0,,43.0,4271.0,,2904.0,600.0,49.0,4583.0,,68.0,,24522.0,33.0,32.0,36.0,106.0,39.0,378.0,39.0,40,42.0,269.0,47.0,47.0,53.0,47.0,102.0,432.0
,,,938.0,32.0,435.0,2005.0,35.0,1731.0,,2216.0,3616.0,7971.0,8850.0,3211.0,8215.0,,4567.0,200.0,49.0,34.0,233.0,35.0,39.0,33.0,38.0,40.0,41.0,104.0,41.0,3242.0,46.0,45.0,48.0,1573.0,49.0,734.0,,68.0,,,,700.0,45.0,50.0,,7441.0,3411.0,5036.0,6836.0,698.0,8914.0,1471.0,5345.0,9171.0,38.0,41.0,266.0,997.0,35.0,9110.0,320.0,204.0,,301.0,4253.0,3815.0,38.0,40.0,39.0,,41.0,3457.0,307.0,,45.0,4135.0,,2741.0,534.0,50.0,4482.0,,68.0,,,36.0,33.0,34.0,99.0,38.0,367.0,40.0,41,42.0,201.0,46.0,48.0,56.0,47.0,104.0,266.0
,,,1344.0,34.0,1000.0,2003.0,34.0,1732.0,,2182.0,3584.0,8001.0,9454.0,3176.0,8179.0,,4437.0,200.0,50.0,34.0,232.0,34.0,37.0,38.0,40.0,41.0,41.0,103.0,42.0,3170.0,42.0,40.0,44.0,1508.0,50.0,667.0,,100.0,,,,713.0,46.0,49.0,,7306.0,3349.0,6613.0,6906.0,701.0,8915.0,1437.0,5364.0,9209.0,41.0,41.0,284.0,972.0,43.0,9080.0,319.0,635.0,,267.0,4255.0,3784.0,36.0,38.0,39.0,,43.0,3389.0,307.0,,46.0,4003.0,,2575.0,501.0,49.0,4449.0,,67.0,,,33.0,33.0,36.0,66.0,37.0,399.0,38.0,42,42.0,168.0,44.0,51.0,53.0,48.0,102.0,207.0
,,,4701.0,36.0,1638.0,2006.0,36.0,1669.0,,3191.0,3550.0,8041.0,9420.0,3143.0,8145.0,,4302.0,199.0,45.0,31.0,235.0,35.0,36.0,37.0,40.0,41.0,41.0,102.0,42.0,3141.0,42.0,43.0,45.0,1440.0,51.0,600.0,,103.0,,,,716.0,44.0,48.0,,7140.0,3282.0,7634.0,7376.0,699.0,9270.0,1439.0,5366.0,9211.0,38.0,41.0,285.0,939.0,43.0,9078.0,316.0,905.0,,269.0,4353.0,3788.0,37.0,36.0,40.0,,42.0,3355.0,305.0,,45.0,3839.0,,2410.0,435.0,48.0,4415.0,,65.0,,,34.0,34.0,37.0,66.0,40.0,365.0,39.0,41,42.0,133.0,46.0,46.0,50.0,51.0,101.0,204.0
,,,9190.0,34.0,1707.0,2005.0,35.0,1600.0,,3488.0,3514.0,8005.0,9417.0,3074.0,8210.0,,4165.0,201.0,49.0,32.0,243.0,33.0,36.0,37.0,40.0,37.0,41.0,102.0,43.0,3107.0,44.0,44.0,47.0,1404.0,51.0,504.0,,101.0,,,,708.0,46.0,51.0,,6974.0,3180.0,9197.0,7683.0,664.0,9258.0,1451.0,5400.0,9178.0,37.0,41.0,289.0,873.0,40.0,9077.0,316.0,1204.0,,268.0,4387.0,3754.0,52.0,38.0,39.0,,40.0,3325.0,305.0,,44.0,3708.0,,2241.0,367.0,48.0,4349.0,,67.0,,,34.0,34.0,35.0,67.0,36.0,366.0,39.0,47,42.0,101.0,43.0,48.0,52.0,50.0,104.0,203.0
,,,13348.0,35.0,2714.0,2008.0,35.0,1601.0,,4158.0,3519.0,8005.0,11188.0,3042.0,8177.0,,4035.0,203.0,50.0,34.0,242.0,35.0,37.0,36.0,39.0,40.0,41.0,102.0,40.0,3040.0,41.0,44.0,45.0,,51.0,440.0,,134.0,,,,710.0,49.0,50.0,,6811.0,3111.0,9805.0,8427.0,663.0,,1407.0,5434.0,9243.0,38.0,39.0,287.0,842.0,42.0,8944.0,319.0,2208.0,,269.0,4389.0,3752.0,37.0,37.0,39.0,,42.0,3252.0,308.0,,45.0,3576.0,,2076.0,299.0,51.0,4282.0,,32.0,,,33.0,35.0,36.0,67.0,37.0,335.0,39.0,40,42.0,67.0,46.0,47.0,53.0,49.0,104.0,203.0
,,,17632.0,34.0,3184.0,2005.0,36.0,1601.0,,4125.0,3484.0,9656.0,11190.0,2976.0,8142.0,,3902.0,200.0,48.0,32.0,246.0,37.0,35.0,39.0,37.0,41.0,40.0,102.0,42.0,3039.0,44.0,46.0,44.0,,50.0,372.0,,301.0,,,,712.0,47.0,48.0,,6640.0,3038.0,11654.0,9138.0,661.0,,1408.0,5432.0,9207.0,39.0,40.0,292.0,810.0,41.0,8909.0,316.0,2208.0,,271.0,4422.0,3722.0,38.0,39.0,40.0,,43.0,3225.0,306.0,,46.0,3443.0,,1910.0,235.0,50.0,4247.0,,31.0,,,33.0,35.0,37.0,34.0,37.0,299.0,40.0,38,41.0,43.0,48.0,49.0,53.0,51.0,102.0,202.0
,,,,34.0,3187.0,2006.0,33.0,1567.0,,4966.0,4890.0,9621.0,11189.0,2941.0,8145.0,,3803.0,200.0,51.0,33.0,243.0,37.0,37.0,39.0,37.0,40.0,41.0,103.0,41.0,3037.0,43.0,31.0,46.0,,49.0,303.0,,500.0,,,,712.0,47.0,49.0,,6473.0,2976.0,11992.0,10618.0,661.0,,1405.0,5511.0,9209.0,38.0,39.0,284.0,774.0,42.0,,314.0,2443.0,,271.0,4421.0,3757.0,38.0,38.0,41.0,,40.0,3193.0,305.0,,44.0,3311.0,,1745.0,202.0,49.0,4279.0,,36.0,,,34.0,33.0,35.0,34.0,37.0,299.0,40.0,38,44.0,40.0,44.0,48.0,53.0,49.0,104.0,200.0
,,,,34.0,3189.0,2009.0,39.0,1570.0,,4998.0,4857.0,9655.0,11188.0,2871.0,8080.0,,3671.0,199.0,49.0,34.0,244.0,37.0,37.0,38.0,38.0,39.0,42.0,103.0,42.0,2967.0,45.0,45.0,45.0,,49.0,234.0,,830.0,,,,710.0,45.0,50.0,,6339.0,2910.0,12660.0,10923.0,2000.0,,1407.0,5470.0,9277.0,37.0,41.0,284.0,734.0,26.0,,316.0,2678.0,,273.0,4455.0,3723.0,37.0,38.0,38.0,,42.0,3155.0,304.0,,45.0,3177.0,,1578.0,134.0,48.0,4206.0,,34.0,,,35.0,34.0,36.0,34.0,38.0,269.0,39.0,41,43.0,42.0,44.0,47.0,54.0,50.0,102.0,202.0
,,,,32.0,3320.0,2009.0,35.0,1536.0,,6209.0,4857.0,9623.0,11153.0,2838.0,8313.0,,3539.0,200.0,49.0,34.0,244.0,34.0,37.0,36.0,37.0,39.0,43.0,103.0,43.0,2998.0,43.0,45.0,45.0,,51.0,134.0,,1886.0,,,,710.0,44.0,49.0,,6173.0,2812.0,13801.0,10924.0,2005.0,,1374.0,5535.0,9276.0,39.0,41.0,286.0,701.0,45.0,,318.0,2749.0,,235.0,4489.0,3754.0,37.0,38.0,40.0,,43.0,3082.0,307.0,,46.0,3076.0,,1410.0,69.0,48.0,4139.0,,33.0,,,34.0,33.0,37.0,34.0,38.0,233.0,39.0,39,42.0,42.0,47.0,48.0,53.0,51.0,104.0,204.0
,,,,31.0,3389.0,1979.0,35.0,1535.0,,6876.0,5327.0,9624.0,11153.0,2773.0,8277.0,,3436.0,201.0,49.0,25.0,242.0,36.0,36.0,40.0,38.0,40.0,40.0,100.0,41.0,3001.0,44.0,44.0,45.0,,49.0,70.0,,1958.0,,,,714.0,49.0,51.0,,6006.0,2746.0,,11129.0,2002.0,,1370.0,5500.0,9315.0,38.0,42.0,287.0,669.0,43.0,,319.0,3049.0,,251.0,4558.0,3785.0,40.0,37.0,41.0,,40.0,3084.0,307.0,,46.0,2939.0,,1243.0,49.0,49.0,4040.0,,33.0,,,32.0,33.0,36.0,35.0,37.0,234.0,38.0,40,43.0,41.0,46.0,48.0,53.0,49.0,103.0,202.0
,,,,34.0,5194.0,1979.0,37.0,1506.0,,6910.0,5327.0,9590.0,12500.0,2735.0,8245.0,,3303.0,201.0,51.0,36.0,242.0,37.0,36.0,36.0,39.0,42.0,40.0,103.0,44.0,2966.0,47.0,44.0,44.0,,49.0,53.0,,2163.0,,,,714.0,48.0,49.0,,5843.0,2679.0,,11866.0,2001.0,,1338.0,5535.0,9309.0,40.0,40.0,281.0,603.0,41.0,,319.0,4009.0,,240.0,4525.0,3817.0,36.0,39.0,39.0,,41.0,3041.0,305.0,,44.0,2841.0,,1075.0,48.0,48.0,4005.0,,33.0,,,33.0,36.0,35.0,33.0,39.0,199.0,38.0,40,39.0,43.0,47.0,46.0,53.0,50.0,102.0,205.0
,,,,33.0,5765.0,1978.0,35.0,1504.0,,7710.0,6359.0,9624.0,12496.0,2701.0,8243.0,,3202.0,201.0,49.0,34.0,242.0,36.0,38.0,36.0,39.0,39.0,39.0,103.0,44.0,2969.0,45.0,45.0,46.0,,50.0,52.0,,2297.0,,,,709.0,47.0,48.0,,5674.0,2611.0,,,2004.0,,1370.0,5537.0,9311.0,38.0,41.0,282.0,571.0,41.0,,319.0,4027.0,,245.0,4590.0,3817.0,38.0,36.0,41.0,,38.0,3020.0,304.0,,46.0,2704.0,,905.0,48.0,49.0,3939.0,,34.0,,,34.0,36.0,37.0,36.0,38.0,167.0,39.0,40,43.0,40.0,44.0,47.0,51.0,50.0,102.0,200.0
,,,,33.0,6571.0,1976.0,36.0,1473.0,,8381.0,6394.0,10225.0,12497.0,3702.0,8177.0,,3068.0,198.0,50.0,33.0,243.0,35.0,37.0,35.0,38.0,41.0,42.0,100.0,41.0,2965.0,43.0,43.0,44.0,,50.0,54.0,,2596.0,,,,708.0,46.0,48.0,,5538.0,2543.0,,,2009.0,,1338.0,5603.0,,38.0,39.0,288.0,533.0,43.0,,321.0,4094.0,,244.0,4621.0,3848.0,37.0,38.0,39.0,,42.0,3019.0,309.0,,45.0,2568.0,,739.0,48.0,51.0,3907.0,,35.0,,,32.0,35.0,35.0,35.0,38.0,168.0,36.0,40,41.0,43.0,46.0,49.0,51.0,35.0,101.0,202.0
,,,,774.0,7574.0,1979.0,36.0,1474.0,,8648.0,6795.0,10221.0,12498.0,3636.0,8277.0,,2935.0,202.0,47.0,34.0,243.0,37.0,37.0,36.0,39.0,40.0,42.0,,41.0,2899.0,42.0,46.0,46.0,,51.0,52.0,,2864.0,,,,710.0,47.0,53.0,,5371.0,2478.0,,,2007.0,,1341.0,5636.0,,40.0,44.0,293.0,398.0,44.0,,319.0,4096.0,,245.0,4655.0,4151.0,38.0,38.0,39.0,,40.0,2982.0,309.0,,47.0,2466.0,,571.0,47.0,51.0,3877.0,,33.0,,,34.0,37.0,35.0,37.0,36.0,132.0,38.0,41,41.0,41.0,47.0,48.0,49.0,50.0,103.0,204.0
,,,,2049.0,9754.0,1980.0,33.0,1440.0,,8649.0,6797.0,10221.0,12498.0,3633.0,8277.0,,2834.0,,49.0,33.0,243.0,38.0,37.0,35.0,40.0,42.0,40.0,,41.0,2930.0,,47.0,48.0,,48.0,52.0,,5574.0,,,,708.0,49.0,49.0,,5204.0,2378.0,,,2008.0,,1306.0,5635.0,,38.0,41.0,287.0,366.0,45.0,,321.0,4128.0,,242.0,4655.0,4154.0,37.0,40.0,43.0,,41.0,2986.0,305.0,,47.0,2333.0,,404.0,49.0,50.0,,,39.0,,,33.0,35.0,36.0,38.0,35.0,99.0,37.0,39,42.0,44.0,46.0,47.0,50.0,49.0,102.0,203.0
,,,,3958.0,10358.0,1982.0,35.0,1439.0,,8684.0,,10425.0,12494.0,3634.0,8244.0,,2699.0,,49.0,33.0,243.0,35.0,37.0,36.0,36.0,38.0,41.0,,43.0,2895.0,,45.0,45.0,,50.0,50.0,,5805.0,,,,717.0,47.0,51.0,,5039.0,2311.0,,,2008.0,,1303.0,5671.0,,39.0,38.0,282.0,303.0,40.0,,319.0,4163.0,,239.0,4691.0,4154.0,37.0,39.0,41.0,,40.0,2985.0,305.0,,44.0,2197.0,,251.0,46.0,49.0,,,34.0,,,34.0,34.0,37.0,37.0,35.0,97.0,39.0,40,42.0,43.0,46.0,46.0,51.0,50.0,103.0,203.0
,,,,7007.0,11399.0,1980.0,36.0,1436.0,,8683.0,,10429.0,12496.0,3602.0,8946.0,,2602.0,,48.0,32.0,245.0,36.0,38.0,36.0,39.0,40.0,40.0,,42.0,2858.0,,45.0,45.0,,49.0,53.0,,6312.0,,,,711.0,48.0,50.0,,4873.0,2248.0,,,2042.0,,1305.0,5673.0,,40.0,38.0,285.0,269.0,44.0,,318.0,4996.0,,248.0,4724.0,4157.0,38.0,38.0,39.0,,43.0,2955.0,306.0,,46.0,2098.0,,1274.0,48.0,50.0,,,33.0,,,35.0,35.0,35.0,39.0,38.0,67.0,39.0,39,40.0,44.0,45.0,47.0,53.0,49.0,103.0,201.0
,,,,10393.0,11967.0,1976.0,37.0,1406.0,,8685.0,,10459.0,12528.0,3602.0,8912.0,,2471.0,,33.0,34.0,240.0,38.0,38.0,35.0,39.0,40.0,42.0,,42.0,2863.0,,45.0,46.0,,50.0,,,6648.0,,,,715.0,51.0,50.0,,4741.0,2181.0,,,2075.0,,1265.0,5707.0,,38.0,43.0,291.0,233.0,42.0,,317.0,5564.0,,244.0,4723.0,4191.0,37.0,41.0,39.0,,43.0,2922.0,427.0,,45.0,1965.0,,1420.0,50.0,48.0,,,34.0,,,34.0,35.0,36.0,35.0,37.0,33.0,36.0,41,42.0,39.0,45.0,50.0,53.0,50.0,104.0,201.0
,,,,12674.0,12071.0,1975.0,36.0,1403.0,,8682.0,,10429.0,12492.0,3536.0,8914.0,,2336.0,,50.0,33.0,243.0,35.0,36.0,38.0,39.0,37.0,41.0,,44.0,,,45.0,43.0,,48.0,,,6981.0,,,,817.0,45.0,47.0,,4574.0,2111.0,,,2107.0,,1271.0,5709.0,,38.0,38.0,289.0,202.0,42.0,,317.0,5935.0,,255.0,4759.0,,37.0,37.0,39.0,,41.0,2957.0,301.0,,46.0,1801.0,,1419.0,46.0,49.0,,,34.0,,,34.0,33.0,38.0,37.0,37.0,35.0,39.0,39,45.0,41.0,46.0,48.0,53.0,50.0,104.0,204.0
,,,,,,1976.0,27.0,1372.0,,8717.0,,12075.0,12491.0,3569.0,8883.0,,2235.0,,50.0,34.0,244.0,34.0,37.0,36.0,33.0,39.0,41.0,,42.0,,,44.0,45.0,,50.0,,,7284.0,,,,716.0,48.0,45.0,,4405.0,2014.0,,,2142.0,,1238.0,5743.0,,39.0,,283.0,167.0,44.0,,317.0,6272.0,,243.0,4831.0,,38.0,37.0,42.0,,40.0,2891.0,301.0,,46.0,1700.0,,1419.0,49.0,48.0,,,36.0,,,34.0,35.0,35.0,37.0,38.0,38.0,38.0,42,42.0,42.0,49.0,48.0,57.0,50.0,102.0,202.0
,,,,,,1946.0,35.0,1371.0,,8720.0,,,13125.0,3500.0,8848.0,,2067.0,,47.0,33.0,245.0,35.0,36.0,37.0,37.0,40.0,39.0,,40.0,,,45.0,110.0,,49.0,,,7517.0,,,,720.0,48.0,49.0,,4243.0,1947.0,,,2210.0,,1240.0,5740.0,,37.0,,279.0,100.0,44.0,,323.0,7813.0,,236.0,4830.0,,39.0,38.0,39.0,,41.0,2889.0,306.0,,47.0,1566.0,,1415.0,47.0,50.0,,,33.0,,,33.0,35.0,37.0,37.0,39.0,36.0,38.0,40,43.0,43.0,45.0,47.0,52.0,50.0,104.0,201.0
,,,,,,1950.0,35.0,1341.0,,8722.0,,,13550.0,3535.0,8848.0,,1934.0,,49.0,35.0,247.0,36.0,39.0,38.0,38.0,39.0,43.0,,42.0,,,44.0,47.0,,52.0,,,8640.0,,,,721.0,48.0,50.0,,4077.0,1879.0,,,2212.0,,1241.0,5778.0,,39.0,,,69.0,43.0,,315.0,8314.0,,243.0,4866.0,,37.0,40.0,41.0,,43.0,2885.0,310.0,,47.0,1434.0,,1419.0,47.0,50.0,,,34.0,,,33.0,34.0,40.0,36.0,38.0,36.0,37.0,41,41.0,42.0,47.0,45.0,53.0,49.0,105.0,204.0
,,,,,,1951.0,36.0,1339.0,,8754.0,,,13551.0,3467.0,10317.0,,1832.0,,48.0,32.0,242.0,37.0,37.0,36.0,42.0,41.0,39.0,,42.0,,,45.0,44.0,,51.0,,,8688.0,,,,720.0,47.0,48.0,,3943.0,1809.0,,,2275.0,,1208.0,5773.0,,39.0,,,34.0,42.0,,317.0,8747.0,,255.0,4929.0,,38.0,37.0,40.0,,41.0,2854.0,305.0,,45.0,1335.0,,,48.0,49.0,,,34.0,,,35.0,37.0,37.0,37.0,36.0,40.0,36.0,42,42.0,43.0,46.0,46.0,53.0,49.0,101.0,203.0
